event_date,event_name,event_type,region,expected_price_channel,notes,source_url
2012-01-23,EU adopts Iran oil embargo,Sanctions,Europe/Iran,Supply risk upward,"EU measures restricted import, purchase, and transport of Iranian crude oil and petroleum products, with existing contracts phased out by July 2012.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.019.01.0022.01.ENG
2014-06-01,Oil price slide begins amid supply growth and weaker demand,Macroeconomic shock,Global,Demand and supply downward,"Approximate start of the 2014-2016 oil price collapse period driven by weaker demand expectations and rising non-OPEC supply.",https://commonslibrary.parliament.uk/research-briefings/sn02106/
2014-11-27,OPEC maintains 30 million bpd output ceiling,OPEC policy,Global supply,Supply downward,"OPEC kept its production level at 30 million barrels per day instead of cutting output during a falling price environment.",https://www.kuna.net.kw/ArticlePrintPage.aspx?id=2411114&language=en
2015-07-14,JCPOA Iran nuclear agreement announced,Sanctions,Global/Iran,Supply downward,"Agreement created expectations that Iranian barrels could return to the market after sanctions relief.",https://2009-2017.state.gov/e/eb/tfs/spi/iran/jcpoa/
2016-01-16,JCPOA Implementation Day sanctions relief,Sanctions,Global/Iran,Supply downward,"Implementation Day lifted nuclear-related sanctions and increased expectations of Iranian crude supply returning.",https://2009-2017.state.gov/r/pa/prs/ps/2016/01/251338.htm
2016-11-30,OPEC Vienna Agreement cuts production,OPEC policy,Global supply,Supply upward,"OPEC agreed to reduce production by about 1.2 million barrels per day, effective January 2017.",https://www.opec.org/pr-detail/457-10-dec-2016.html
2017-05-25,OPEC and non-OPEC producers extend cuts,OPEC policy,Global supply,Supply upward,"Participating producers extended production adjustments to support rebalancing after the 2016 agreement.",https://www.opec.org/pr-detail/387-25-may-2017.html
2018-05-08,United States exits JCPOA and starts reimposing Iran sanctions,Sanctions,Global/Iran,Supply upward,"U.S. withdrawal from the Iran nuclear deal began a sanctions reimposition process affecting energy and petrochemical sectors.",https://2017-2021.state.gov/on-president-trumps-decision-to-withdraw-from-the-jcpoa/
2018-12-07,OPEC+ agrees new production cuts,OPEC policy,Global supply,Supply upward,"OPEC and non-OPEC producers agreed another output adjustment after late-2018 price weakness.",https://www.opec.org/pr-detail/356-07-dec-2018.html
2019-09-14,Saudi Aramco Abqaiq and Khurais attacks,Conflict,Saudi Arabia,Supply upward,"Attacks disrupted Saudi oil infrastructure and led to the largest one-day Brent move in the prior decade when trading reopened.",https://www.eia.gov/todayinenergy/detail.php?id=41413
2020-01-03,U.S. strike kills Iranian commander Qasem Soleimani,Conflict,Middle East,Supply risk upward,"Escalation raised perceived supply disruption risk even though no immediate oil production was lost.",https://www.eia.gov/todayinenergy/detail.php?id=42675
2020-03-11,WHO characterizes COVID-19 as a pandemic,Macroeconomic shock,Global,Demand downward,"The pandemic shock sharply reduced transport and industrial demand for oil.",https://www.who.int/europe/emergencies/situations/covid-19
2020-04-12,OPEC+ agrees historic production cut,OPEC policy,Global supply,Supply upward,"OPEC+ agreed to cut production by 9.7 million barrels per day from May 2020 after the pandemic demand collapse.",https://www.opec.org/pr-detail/310-12-apr-2020.html
2021-07-18,OPEC+ agrees monthly production increases,OPEC policy,Global supply,Supply downward,"OPEC+ agreed to raise production by 0.4 million barrels per day each month starting August 2021.",https://www.opec.org/pr-detail/209-18-jul-2021.html
2022-02-24,Russia launches full-scale invasion of Ukraine,Conflict,Russia/Ukraine,Supply risk upward,"The invasion intensified energy supply risks and triggered sanctions responses affecting Russian energy trade.",https://www.un.org/sg/en/content/sg/statement/2022-02-24/secretary-generals-remarks-russian-federation%E2%80%99s-military-operation-ukraine
2022-03-08,United States bans Russian oil and energy imports,Sanctions,United States/Russia,Supply upward,"The U.S. announced a ban on imports of Russian oil, liquefied natural gas, and coal.",https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/08/fact-sheet-united-states-bans-imports-of-russian-oil-liquefied-natural-gas-and-coal/
2022-10-05,OPEC+ announces 2 million bpd production cut,OPEC policy,Global supply,Supply upward,"OPEC+ agreed to reduce overall production by 2 million barrels per day from August 2022 required levels starting November 2022.",https://www.opec.org/pr-detail/73-05-oct-2022.html
